"Title","location","Time period","has beginning","has end","Basic reproduction number","Has value","Confidence interval (95%)","Lower confidence limit","Upper confidence limit","Method","Approaches"
"Estimation of the epidemic properties of the 2019 novel coronavirus: A mathematical modeling study - Contribution 3","Wuhan City, China","Time interval","2020-01-10","2020-02-08","Basic reproduction number estimate value specification","3.39","Confidence interval (95%)","3.09","3.70","a weighted average of Exponential growth, Maximum likelihood, Sequential Bayesian, Time-dependent reproduction numbers, and SEIR model basic reproduction numbers by calculating weights from a Poisson loss function",""
"Estimating the generation interval for COVID-19 based on symptom onset data - Contribution 4","Tianjin, China","Time interval","2020-01-14","2020-02-27","Basic reproduction number estimate value specification","1.41","Confidence interval (95%)","1.26","1.58","serial interval",""
"Effects of voluntary event cancellation and school closure as countermeasures against COVID−19 outbreak in Japan - Contribution 1","Japan","Time interval","2020-01-14","2020-02-28","Basic reproduction number estimate value specification","2.29","Confidence interval (95%)","2.19","2.37","a simple susceptible infected recovery (SIR) model",""
"Estimation of the reproductive number of novel coronavirus (COVID-19) and the probable outbreak size on the Diamond Princess cruise ship: A data-driven analysis - Contribution 1","the Diamond Princess cruise ship","Time interval","2020-02-16","2020-02-16","Basic reproduction number estimate value specification","2.28","Confidence interval (95%)","2.06","2.52","",""
"Estimation of the Transmission Risk of 2019-nCov and Its Implication for Public Health Interventions - Contribution 1","China","Time interval","2020-01-22","2020-01-22","Basic reproduction number estimate value specification","6.47","Confidence interval (95%)","5.71","7.23","Mathematical SEIR-type epidemiological model incorporates appropriate compartments corresponding to interventions","Method-based method and Likelihood-based method"
"Modelling the epidemic trend of the 2019 novel coronavirus outbreak in China - Contribution 1","Huberi province","Time interval","2020-01-12","2020-01-22","Basic reproduction number estimate value specification","6.49","Confidence interval (95%)","6.31","6.66","Mathematical model, dynamic compartmental model with population divided into five compartments: susceptible individuals, asymptomatic individuals during the incubation period, infectious individuals with symptoms, isolated individuals with treatment and recovered individuals","R0 = β/αβ  = mean person-to-person transmission rate/day in the absence of control interventions, using nonlinear least squares method to get its point estimate α = isolation rate = 6"
"Preliminary estimation of the basic reproduction number of novel coronavirus (2019-nCoV) in China, from 2019 to 2020: A data-driven analysis in the early phase of the outbreak - Contribution 2","China","Time interval","2020-01-10","2020-01-24","Basic reproduction number estimate value specification","2.24","Confidence interval (95%)","1.96","2.55","Statistical exponential growth model method adopting serial interval from SARS (mean = 8.4 days, SD = 3.8 days) and MERS (mean = 7.6 days, SD = 3.4 days)","Corresponding to 8-fold increase in the reporting rateR0 = 1/M(−𝑟)𝑟 =intrinsic growth rateM = moment generating function"
"Preliminary estimation of the basic reproduction number of novel coronavirus (2019-nCoV) in China, from 2019 to 2020: A data-driven analysis in the early phase of the outbreak - Contribution 1","China","Time interval","2020-01-10","2020-01-24","Basic reproduction number estimate value specification","3.58","Confidence interval (95%)","2.89","4.39","Statistical exponential growth model method adopting serial interval from SARS (mean = 8.4 days, SD = 3.8 days) and MERS (mean = 7.6 days, SD = 3.4 days)","Corresponding to 2-fold increase in the reporting rateR0 = 1/M(−𝑟)𝑟 =intrinsic growth rateM = moment generating function"
"Nowcasting and forecasting the potential domestic and international spread of the 2019-nCoV outbreak originating in Wuhan, China: a modelling study - Contribution 1","Wuhan","Time interval","2019-12-31","2020-01-28","Basic reproduction number estimate value specification","2.68","Confidence interval (95%)","2.47","2.86","Stochastic Markov Chain Monte Carlo methods (MCMC)","MCMC methods with Gibbs sampling and non-informative flat prior, using posterior distribution"
"Early Transmissibility Assessment of a Novel Coronavirus in Wuhan, China - Contribution 1","Wuhan","Time interval","2019-12-08","2020-01-26","Basic reproduction number estimate value specification","2.55","","","","Mathematical Incidence Decay and Exponential Adjustment (IDEA) model","Adopted mean serial interval lengths from SARS and MERS ranging from 6 to 10 days to fit the IDEA model,"
"Novel coronavirus 2019-nCoV: early estimation of epidemiological parameters and epidemic predictions - Contribution 1","China","Time interval","2020-01-01","2020-01-22","Basic reproduction number estimate value specification","3.11","Confidence interval (95%)","2.39","4.13","Mathematical transmission model assuming latent period = 4 days and near to the incubation period","Assumes daily time increments with Poisson-distribution and apply a deterministic SEIR metapopulation transmission model, transmission rate = 1.94, infectious period =1.61 days"
"Time-varying transmission dynamics of Novel Coronavirus Pneumonia in China - Contribution 1","China and overseas","Time interval","2020-01-23","2020-01-23","Basic reproduction number estimate value specification","2.9","Confidence interval (95%)","2.32","3.63","Statistical exponential Growth, using SARS generation time = 8.4 days, SD = 3.8 days","Applies Poisson regression to fit the exponential growth rateR0 = 1/M(−𝑟)M = moment generating function of the generation time distributionr = fitted exponential growth rate"
"Time-varying transmission dynamics of Novel Coronavirus Pneumonia in China - Contribution 2","China and overseas","Time interval","2020-01-23","2020-01-23","Basic reproduction number estimate value specification","2.92","Confidence interval (95%)","2.38","3.67","Statistical maximum likelihood estimation, using SARS generation time = 8.4 days, SD = 3.8 days","Maximize log-likelihood to estimate R0 by using surveillance data during a disease epidemic, and assuming the secondary case is Poisson distribution with expected value R0"
"Estimating the effective reproduction number of the 2019-nCoV in China - Contribution 1","China","Time interval","2020-01-23","2020-01-23","Basic reproduction number estimate value specification","4.08","","","","Mathematical model including compartments Susceptible-Exposed-Infectious-Recovered-Death-Cumulative (SEIRDC)","R = K 2 (L × D) + K(L + D) + 1L = average latent period = 7,D = average latent infectious period = 9,K = logarithmic growth rate of the case counts"
"Real-Time Estimation of the Risk of Death from Novel Coronavirus (COVID-19) Infection: Inference Using Exported Cases - Contribution 1","mainland China","Time interval","2019-12-08","2019-12-08","Basic reproduction number estimate value specification","2.1","Confidence interval (95%)","2.0","2.2","",""
"Real-Time Estimation of the Risk of Death from Novel Coronavirus (COVID-19) Infection: Inference Using Exported Cases - Contribution 2","mainland China","Time interval","2020-01-24","2020-01-24","Basic reproduction number estimate value specification","3.2","Confidence interval (95%)","2.7","3.7","",""
"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus–Infected Pneumonia - Contribution 1","China","Time interval","2020-01-22","2020-01-22","Basic reproduction number estimate value specification","2.2","Confidence interval (95%)","1.4","3.9","Statistical exponential growth model","Mean incubation period = 5.2 days, mean serial interval = 7.5 days"
"Pattern of early human-to-human transmission of Wuhan 2019-nCoV - Contribution 1","China and overseas","Time interval","2020-01-18","2020-01-08","Basic reproduction number estimate value specification","2.2","","","","Stochastic simulations of early outbreak trajectories","Stochastic simulations of early outbreak trajectories were performed that are consistent with the epidemiological findings to date"
"Report 3: Transmissibility of 2019-nCoV. 2020. WHO Collaborating Centre for Infectious Disease Modelling, MRC Centre for Global Infectious Disease Analysis - Contribution 1","Wuhan","Time interval","2020-01-18","2020-01-18","Basic reproduction number estimate value specification","2.5","Confidence interval (95%)","1.5","3.5","Mathematical model, computational modelling of potential epidemic trajectories","Assume SARS-like levels of case-to-case variability in the numbers of secondary cases and a SARS-like generation time with 8.4 days, and set number of cases caused by zoonotic exposure and assumed total number of cases to estimate R0 values for best-case, median and worst-case"
"Transmission interval estimates suggest pre-symptomatic spread of COVID-19 - Contribution 1","Singapore","Time interval","2020-01-19","2020-02-26","Basic reproduction number estimate value specification","1.97","Confidence interval (95%)","1.45","2.48","",""
"Transmission interval estimates suggest pre-symptomatic spread of COVID-19 - Contribution 2","Tianjin, China","Time Interval","2020-01-21","2020-02-27","Basic reproduction number estimate value specification","1.87","Confidence interval (95%)","1.65","2.09","",""
